Date,Home Team,Away team,H total shots,A total shots,H zone A,H zone B,H zone C,A zone A,A zone B,A zone C,HSZA,HSZB,HSZC,ASZA,ASZB,ASZC,HSOT ,ASOT,FTHG,FTAG,FTR,HPA,APA,HPS,APS,FTHG_P,FTAG_P,HP,AP,HC,AC,HCO,ACO
1/1/2015,Aston Villa,Crystal Palace,14,6,7,50,43,0,33,67,1,7,6,0,2,4,3,0,0,0,D,0,0,0,0,0,0,69.2,30.8,18,9,5,2
1/1/2015,Hull,Everton,14,9,7,57,36,0,33,67,1,8,5,0,3,6,5,3,2,0,H,0,0,0,0,2,0,44.5,55.5,25,19,4,8
1/1/2015,Liverpool,Leicester,18,16,0,61,39,0,38,62,0,11,7,0,6,10,6,3,2,2,D,2,0,2,0,0,2,58.8,41.2,12,19,4,5
1/1/2015,Man City,Sunderland,32,4,6,69,25,0,75,25,2,22,8,0,3,1,12,4,3,2,H,0,1,0,1,3,1,63.8,36.2,25,10,10,4
1/1/2015,Newcastle,Burnley,10,16,30,40,30,7,47,46,3,4,3,1,8,7,4,4,3,3,D,0,0,0,0,3,3,51.5,48.5,24,14,5,5
1/1/2015,QPR,Swansea,24,25,13,42,45,8,52,40,3,10,11,2,13,10,6,6,1,1,D,0,0,0,0,1,1,41.4,58.6,22,28,4,9
1/1/2015,Southampton,Arsenal,13,11,8,69,23,0,45,55,1,9,3,0,5,6,6,6,2,0,H,0,0,0,0,2,0,41.5,58.5,21,30,2,7
1/1/2015,Stoke,Man United,11,6,9,82,9,17,67,16,1,9,1,1,4,1,2,2,1,1,D,0,0,0,0,1,1,34.1,65.9,26,27,11,7
1/1/2015,Tottenham,Chelsea,11,19,0,73,27,21,53,26,0,8,3,4,10,5,8,7,5,3,H,1,0,1,0,4,3,46.2,53.8,17,13,5,3
1/1/2015,West Ham,West Brom,8,14,13,63,25,0,57,43,1,5,2,0,8,6,3,3,1,1,D,0,0,0,0,1,1,45.8,54.2,25,14,0,1
1/10/2015,Burnley,QPR,18,17,17,61,22,0,47,53,3,11,4,0,8,9,7,7,2,1,H,0,1,0,1,2,0,44.8,55.2,23,24,10,6
1/10/2015,Chelsea,Newcastle,9,11,0,78,22,0,55,45,0,7,2,0,6,5,5,5,2,0,H,0,0,0,0,2,0,63,37,15,16,7,4
1/10/2015,Crystal Palace,Tottenham,21,9,5,67,28,11,33,56,1,14,6,1,3,5,7,5,2,1,H,1,0,1,0,1,1,41.6,58.4,22,17,4,6
1/10/2015,Everton,Man City,11,18,0,36,64,6,39,56,0,4,7,1,7,10,4,2,1,1,D,0,0,0,0,1,1,38.2,61.8,18,23,4,9
